#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
1,0,charlie,-,generateNumberNxNA,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,X0;charlie,anbxj.AnBx_Params
1,0,charlie,alice,sent,@5442a311;@5622fdf,javax.crypto.SealedObject
1,0,alice,charlie,received,@5442a311;@5622fdf,javax.crypto.SealedObject
1,0,alice,-,inv_check,@12843fce;@3dd3bcd,anbxj.Crypto_SealedPair.toString
1,1,alice,bob,sent,@12843fce;@3dd3bcd,javax.crypto.SealedObject
1,1,bob,alice,received,@12843fce;@3dd3bcd,javax.crypto.SealedObject
1,1,bob,-,inv_check,charlie,java.lang.String.toString
1,1,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,2,bob,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
1,2,bob,alice,sent,@6767c1fc;@39aeed2f,javax.crypto.SealedObject
1,2,alice,bob,received,@6767c1fc;@39aeed2f,javax.crypto.SealedObject
1,2,alice,-,inv_check,@6d8a00e3;@548b7f67,anbxj.Crypto_SealedPair.toString
1,3,alice,charlie,sent,@6d8a00e3;@548b7f67,javax.crypto.SealedObject
1,3,charlie,alice,received,@6d8a00e3;@548b7f67,javax.crypto.SealedObject
1,3,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,charlie,alice,sent,@5700d6b1;@7085bdee,javax.crypto.SealedObject
1,4,alice,charlie,received,@5700d6b1;@7085bdee,javax.crypto.SealedObject
1,4,alice,-,inv_check,@23ceabc1;@5d5eef3d,anbxj.Crypto_SealedPair.toString
1,5,alice,bob,sent,@23ceabc1;@5d5eef3d,javax.crypto.SealedObject
1,5,bob,alice,received,@23ceabc1;@5d5eef3d,javax.crypto.SealedObject
1,5,bob,-,eq_check,X1,anbxj.Crypto_ByteArray.toString
